,Q_Rewards1,Q_noSteps1,Q_Accuracy1,Q_Rewards2,Q_noSteps2,Q_Accuracy2,Q_Rewards3,Q_noSteps3,Q_Accuracy3,Q_Rewards4,Q_noSteps4,Q_Accuracy4,Q_Rewards5,Q_noSteps5,Q_Accuracy5,Moving_Average_Accuracy1,Moving_Average_Step1,Moving_Average_Reward1,Moving_Average_Accuracy2,Moving_Average_Step2,Moving_Average_Reward2,Moving_Average_Accuracy3,Moving_Average_Step3,Moving_Average_Reward3,Moving_Average_Accuracy4,Moving_Average_Step4,Moving_Average_Reward4,Moving_Average_Accuracy5,Moving_Average_Step5,Moving_Average_Reward5,Overall_Accuracy,Overall_Steps,Overall_Reward
19,-1,121,0,-1,54,0,-1,47,0,-1,58,0,-1,53,0,0.0,109.35,-1.0,0.0,105.7,-1.0,0.0,117.35,-1.0,0.0,88.65,-1.0,0.0,99.35,-1.0,0.0,104.08,-1.0
20,-1,462,0,-1,135,0,-1,19,0,-1,279,0,-1,18,0,0.0,126.14285714285714,-1.0,0.0,107.0952380952381,-1.0,0.0,112.66666666666667,-1.0,0.0,97.71428571428571,-1.0,0.0,95.47619047619048,-1.0,0.0,107.81904761904761,-1.0
21,-1,49,0,-1,115,0,-1,107,0,-1,367,0,-1,121,0,0.0,122.63636363636364,-1.0,0.0,107.45454545454545,-1.0,0.0,112.4090909090909,-1.0,0.0,109.95454545454545,-1.0,0.0,96.63636363636364,-1.0,0.0,109.81818181818183,-1.0
22,-1,94,0,-1,61,0,-1,56,0,-1,28,0,-1,52,0,0.0,121.3913043478261,-1.0,0.0,105.43478260869566,-1.0,0.0,109.95652173913044,-1.0,0.0,106.3913043478261,-1.0,0.0,94.69565217391305,-1.0,0.0,107.57391304347826,-1.0
23,-1,39,0,-1,21,0,-1,40,0,-1,204,0,-1,63,0,0.0,117.95833333333333,-1.0,0.0,101.91666666666667,-1.0,0.0,107.04166666666667,-1.0,0.0,110.45833333333333,-1.0,0.0,93.375,-1.0,0.0,106.15,-1.0
24,-1,71,0,-1,57,0,-1,161,0,-1,153,0,-1,47,0,0.0,116.08,-1.0,0.0,100.12,-1.0,0.0,109.2,-1.0,0.0,112.16,-1.0,0.0,91.52,-1.0,0.0,105.81599999999999,-1.0
25,-1,106,0,-1,7,0,-1,126,0,-1,59,0,-1,117,0,0.0,115.6923076923077,-1.0,0.0,96.53846153846153,-1.0,0.0,109.84615384615384,-1.0,0.0,110.11538461538461,-1.0,0.0,92.5,-1.0,0.0,104.93846153846155,-1.0
26,-1,51,0,-1,79,0,-1,69,0,-1,146,0,-1,136,0,0.0,113.29629629629629,-1.0,0.0,95.88888888888889,-1.0,0.0,108.33333333333333,-1.0,0.0,111.44444444444444,-1.0,0.0,94.11111111111111,-1.0,0.0,104.6148148148148,-1.0
27,-1,144,0,-1,41,0,-1,94,0,-1,171,0,-1,75,0,0.0,114.39285714285714,-1.0,0.0,93.92857142857143,-1.0,0.0,107.82142857142857,-1.0,0.0,113.57142857142857,-1.0,0.0,93.42857142857143,-1.0,0.0,104.62857142857142,-1.0
28,-1,114,0,-1,21,0,-1,87,0,-1,77,0,-1,88,0,0.0,114.37931034482759,-1.0,0.0,91.41379310344827,-1.0,0.0,107.10344827586206,-1.0,0.0,112.3103448275862,-1.0,0.0,93.24137931034483,-1.0,0.0,103.6896551724138,-1.0
29,-1,37,0,-1,67,0,-1,150,0,-1,96,0,-1,110,0,0.0,111.8,-1.0,0.0,90.6,-1.0,0.0,108.53333333333333,-1.0,0.0,111.76666666666667,-1.0,0.0,93.8,-1.0,0.0,103.29999999999998,-1.0
30,-1,133,0,-1,18,0,-1,122,0,-1,111,0,-1,109,0,0.0,112.48387096774194,-1.0,0.0,88.25806451612904,-1.0,0.0,108.96774193548387,-1.0,0.0,111.74193548387096,-1.0,0.0,94.29032258064517,-1.0,0.0,103.1483870967742,-1.0
31,-1,5,0,-1,128,0,-1,35,0,-1,63,0,-1,104,0,0.0,109.125,-1.0,0.0,89.5,-1.0,0.0,106.65625,-1.0,0.0,110.21875,-1.0,0.0,94.59375,-1.0,0.0,102.01875,-1.0
32,-1,48,0,-1,536,0,-1,218,0,-1,149,0,-1,210,0,0.0,107.27272727272727,-1.0,0.0,103.03030303030303,-1.0,0.0,110.03030303030303,-1.0,0.0,111.39393939393939,-1.0,0.0,98.0909090909091,-1.0,0.0,105.96363636363637,-1.0
33,-1,163,0,-1,23,0,-1,25,0,-1,9,0,-1,27,0,0.0,108.91176470588235,-1.0,0.0,100.67647058823529,-1.0,0.0,107.52941176470588,-1.0,0.0,108.38235294117646,-1.0,0.0,96.0,-1.0,0.0,104.3,-1.0
34,-1,64,0,-1,64,0,-1,212,0,-1,171,0,-1,351,0,0.0,107.62857142857143,-1.0,0.0,99.62857142857143,-1.0,0.0,110.51428571428572,-1.0,0.0,110.17142857142858,-1.0,0.0,103.28571428571429,-1.0,0.0,106.2457142857143,-1.0
35,-1,23,0,-1,9,0,-1,28,0,-1,23,0,-1,178,0,0.0,105.27777777777777,-1.0,0.0,97.11111111111111,-1.0,0.0,108.22222222222223,-1.0,0.0,107.75,-1.0,0.0,105.36111111111111,-1.0,0.0,104.74444444444444,-1.0
36,-1,49,0,-1,6,0,-1,117,0,-1,41,0,-1,24,0,0.0,103.75675675675676,-1.0,0.0,94.64864864864865,-1.0,0.0,108.45945945945945,-1.0,0.0,105.94594594594595,-1.0,0.0,103.16216216216216,-1.0,0.0,103.1945945945946,-1.0
37,-1,49,0,-1,157,0,-1,296,0,-1,20,0,-1,50,0,0.0,102.3157894736842,-1.0,0.0,96.28947368421052,-1.0,0.0,113.39473684210526,-1.0,0.0,103.6842105263158,-1.0,0.0,101.76315789473684,-1.0,0.0,103.48947368421052,-1.0
38,-1,32,0,-1,72,0,-1,83,0,-1,78,0,-1,88,0,0.0,100.51282051282051,-1.0,0.0,95.66666666666667,-1.0,0.0,112.61538461538461,-1.0,0.0,103.02564102564102,-1.0,0.0,101.41025641025641,-1.0,0.0,102.64615384615385,-1.0
39,-1,30,0,-1,553,0,-1,199,0,-1,68,0,-1,69,0,0.0,98.75,-1.0,0.0,107.1,-1.0,0.0,114.775,-1.0,0.0,102.15,-1.0,0.0,100.6,-1.0,0.0,104.675,-1.0
40,-1,34,0,-1,21,0,-1,74,0,-1,188,0,-1,8,0,0.0,97.17073170731707,-1.0,0.0,105.0,-1.0,0.0,113.78048780487805,-1.0,0.0,104.2439024390244,-1.0,0.0,98.34146341463415,-1.0,0.0,103.70731707317074,-1.0
41,-1,186,0,-1,141,0,-1,15,0,-1,108,0,-1,51,0,0.0,99.28571428571429,-1.0,0.0,105.85714285714286,-1.0,0.0,111.42857142857143,-1.0,0.0,104.33333333333333,-1.0,0.0,97.21428571428571,-1.0,0.0,103.62380952380951,-1.0
42,-1,98,0,-1,8,0,-1,205,0,-1,190,0,-1,45,0,0.0,99.25581395348837,-1.0,0.0,103.5813953488372,-1.0,0.0,113.6046511627907,-1.0,0.0,106.32558139534883,-1.0,0.0,96.0,-1.0,0.0,103.75348837209303,-1.0
43,-1,82,0,-1,64,0,-1,23,0,-1,211,0,-1,284,0,0.0,98.86363636363636,-1.0,0.0,102.68181818181819,-1.0,0.0,111.54545454545455,-1.0,0.0,108.70454545454545,-1.0,0.0,100.27272727272727,-1.0,0.0,104.41363636363637,-1.0
44,-1,27,0,-1,166,0,-1,130,0,-1,30,0,-1,368,0,0.0,97.26666666666667,-1.0,0.0,104.08888888888889,-1.0,0.0,111.95555555555555,-1.0,0.0,106.95555555555555,-1.0,0.0,106.22222222222223,-1.0,0.0,105.29777777777777,-1.0
45,-1,35,0,-1,70,0,-1,243,0,-1,36,0,-1,62,0,0.0,95.91304347826087,-1.0,0.0,103.34782608695652,-1.0,0.0,114.80434782608695,-1.0,0.0,105.41304347826087,-1.0,0.0,105.26086956521739,-1.0,0.0,104.94782608695652,-1.0
46,-1,10,0,-1,146,0,-1,28,0,-1,111,0,-1,129,0,0.0,94.08510638297872,-1.0,0.0,104.25531914893617,-1.0,0.0,112.95744680851064,-1.0,0.0,105.53191489361703,-1.0,0.0,105.76595744680851,-1.0,0.0,104.51914893617023,-1.0
47,-1,66,0,-1,32,0,-1,43,0,-1,429,0,-1,26,0,0.0,93.5,-1.0,0.0,102.75,-1.0,0.0,111.5,-1.0,0.0,112.27083333333333,-1.0,0.0,104.10416666666667,-1.0,0.0,104.825,-1.0
48,-1,253,0,-1,25,0,-1,84,0,-1,144,0,-1,43,0,0.0,96.75510204081633,-1.0,0.0,101.16326530612245,-1.0,0.0,110.93877551020408,-1.0,0.0,112.91836734693878,-1.0,0.0,102.85714285714286,-1.0,0.0,104.92653061224492,-1.0
49,-1,50,0,-1,125,0,-1,61,0,-1,92,0,-1,3,0,0.0,95.82,-1.0,0.0,101.64,-1.0,0.0,109.94,-1.0,0.0,112.5,-1.0,0.0,100.86,-1.0,0.0,104.152,-1.0
50,-1,90,0,-1,12,0,-1,29,0,-1,36,0,-1,218,0,0.0,95.70588235294117,-1.0,0.0,99.88235294117646,-1.0,0.0,108.3529411764706,-1.0,0.0,111.0,-1.0,0.0,103.15686274509804,-1.0,0.0,103.61960784313726,-1.0
