,SARSA_Rewards1,SARSA_noSteps1,SARSA_Accuracy1,SARSA_Rewards2,SARSA_noSteps2,SARSA_Accuracy2,SARSA_Rewards3,SARSA_noSteps3,SARSA_Accuracy3,SARSA_Rewards4,SARSA_noSteps4,SARSA_Accuracy4,SARSA_Rewards5,SARSA_noSteps5,SARSA_Accuracy5,Moving_Average_Accuracy1,Moving_Average_Step1,Moving_Average_Reward1,Moving_Average_Accuracy2,Moving_Average_Step2,Moving_Average_Reward2,Moving_Average_Accuracy3,Moving_Average_Step3,Moving_Average_Reward3,Moving_Average_Accuracy4,Moving_Average_Step4,Moving_Average_Reward4,Moving_Average_Accuracy5,Moving_Average_Step5,Moving_Average_Reward5,Overall_Accuracy,Overall_Steps,Overall_Reward
7095,1,5,1,1,5,1,1,5,1,1,6,1,1,6,1,0.87,5.79,0.74,0.91,6.21,0.82,0.86,6.14,0.72,0.84,5.61,0.68,0.82,7.35,0.64,0.86,6.220000000000001,0.7200000000000001
7096,1,5,1,-1,6,0,1,5,1,1,5,1,1,5,1,0.87,5.44,0.74,0.9,6.22,0.8,0.87,6.18,0.74,0.85,5.63,0.7,0.82,7.31,0.64,0.8620000000000001,6.156,0.7240000000000001
7097,1,5,1,1,5,1,-1,4,0,1,5,1,1,5,1,0.87,5.33,0.74,0.9,6.22,0.8,0.86,6.17,0.72,0.85,5.63,0.7,0.82,7.31,0.64,0.86,6.132,0.72
7098,1,5,1,1,5,1,1,7,1,1,5,1,-1,3,0,0.87,5.29,0.74,0.9,6.22,0.8,0.86,6.17,0.72,0.85,5.63,0.7,0.81,7.29,0.62,0.858,6.119999999999999,0.716
7099,1,7,1,1,7,1,-1,3,0,1,7,1,1,20,1,0.87,5.31,0.74,0.9,6.23,0.8,0.85,6.15,0.7,0.85,5.65,0.7,0.81,7.44,0.62,0.8560000000000001,6.156,0.7120000000000001
7100,1,5,1,1,7,1,1,5,1,1,6,1,1,5,1,0.88,5.33,0.76,0.9,6.25,0.8,0.86,6.17,0.72,0.85,5.65,0.7,0.81,7.44,0.62,0.8600000000000001,6.168,0.7200000000000001
7101,1,6,1,1,7,1,1,5,1,1,5,1,1,7,1,0.88,5.34,0.76,0.9,6.25,0.8,0.86,6.15,0.72,0.85,5.63,0.7,0.81,7.46,0.62,0.8600000000000001,6.166,0.7200000000000001
7102,1,6,1,1,5,1,1,5,1,1,7,1,1,7,1,0.88,5.35,0.76,0.9,6.23,0.8,0.86,6.15,0.72,0.85,5.65,0.7,0.81,7.47,0.62,0.8600000000000001,6.17,0.7200000000000001
7103,1,6,1,1,5,1,1,5,1,1,5,1,1,7,1,0.89,5.32,0.78,0.91,6.22,0.82,0.86,6.15,0.72,0.85,5.6,0.7,0.81,7.49,0.62,0.8640000000000001,6.156000000000001,0.7280000000000001
7104,1,6,1,1,9,1,1,5,1,1,5,1,1,7,1,0.89,5.33,0.78,0.91,6.26,0.82,0.86,6.15,0.72,0.86,5.6,0.72,0.81,7.51,0.62,0.866,6.17,0.732
