,QL with Constant Epsilon Overall_Accuracy,QL with Constant Epsilon Overall_Steps,QL with Constant Epsilon Overall_Reward
162,0.89,5.2,0.78
163,0.89,5.2,0.78
164,0.89,5.2,0.78
165,0.89,5.22,0.78
166,0.89,5.23,0.78
167,0.89,5.23,0.78
168,0.89,5.23,0.78
169,0.89,5.23,0.78
170,0.89,5.2,0.78
171,0.89,5.22,0.78
172,0.89,5.22,0.78
173,0.89,5.23,0.78
174,0.9,5.27,0.8
175,0.9,5.25,0.8
176,0.89,5.22,0.78
177,0.89,5.22,0.78
178,0.89,5.22,0.78
179,0.89,5.23,0.78
180,0.89,5.23,0.78
181,0.88,5.2,0.76
182,0.89,5.23,0.78
183,0.89,5.23,0.78
184,0.89,5.29,0.78
185,0.89,5.29,0.78
186,0.89,5.29,0.78
187,0.89,5.29,0.78
188,0.89,5.3,0.78
189,0.9,5.31,0.8
190,0.91,5.34,0.82
191,0.91,5.32,0.82
192,0.91,5.32,0.82
193,0.91,5.32,0.82
194,0.9,5.25,0.8
195,0.91,5.26,0.82
196,0.9,5.26,0.8
197,0.91,5.31,0.82
198,0.91,5.29,0.82
199,0.91,5.3,0.82
200,0.91,5.3,0.82
201,0.91,5.29,0.82
202,0.91,5.29,0.82
203,0.91,5.29,0.82
204,0.9,5.25,0.8
205,0.9,5.26,0.8
206,0.9,5.26,0.8
207,0.91,5.3,0.82
208,0.91,5.3,0.82
209,0.91,5.3,0.82
210,0.92,5.36,0.84
211,0.92,5.36,0.84
212,0.93,5.4,0.86
213,0.93,5.4,0.86
214,0.92,5.4,0.84
215,0.92,5.39,0.84
216,0.92,5.34,0.84
217,0.92,5.33,0.84
218,0.92,5.34,0.84
219,0.92,5.34,0.84
220,0.92,5.34,0.84
221,0.92,5.34,0.84
222,0.92,5.32,0.84
223,0.92,5.3,0.84
224,0.92,5.28,0.84
225,0.91,5.27,0.82
226,0.92,5.29,0.84
227,0.92,5.3,0.84
228,0.92,5.31,0.84
229,0.92,5.31,0.84
230,0.92,5.31,0.84
231,0.92,5.3,0.84
232,0.92,5.3,0.84
233,0.92,5.33,0.84
234,0.92,5.33,0.84
235,0.92,5.33,0.84
236,0.92,5.33,0.84
237,0.92,5.33,0.84
238,0.92,5.34,0.84
239,0.91,5.32,0.82
240,0.9,5.28,0.8
241,0.9,5.28,0.8
242,0.9,5.24,0.8
243,0.89,5.19,0.78
244,0.89,5.19,0.78
245,0.89,5.2,0.78
246,0.89,5.21,0.78
247,0.89,5.21,0.78
248,0.89,5.2,0.78
249,0.89,5.2,0.78
250,0.88,5.16,0.76
251,0.88,5.14,0.76
252,0.88,5.12,0.76
253,0.88,5.12,0.76
254,0.88,5.12,0.76
255,0.88,5.14,0.76
256,0.88,5.14,0.76
257,0.87,5.12,0.74
258,0.87,5.12,0.74
259,0.87,5.12,0.74
260,0.86,5.11,0.72
261,0.86,5.11,0.72
262,0.86,5.09,0.72
263,0.86,5.09,0.72
264,0.86,5.09,0.72
265,0.86,5.09,0.72
266,0.86,5.09,0.72
267,0.86,5.09,0.72
268,0.86,5.09,0.72
269,0.86,5.09,0.72
270,0.86,5.09,0.72
271,0.86,5.07,0.72
272,0.86,5.06,0.72
273,0.87,5.09,0.74
274,0.87,5.09,0.74
275,0.87,5.09,0.74
276,0.88,5.14,0.76
277,0.88,5.16,0.76
278,0.88,5.16,0.76
279,0.88,5.15,0.76
280,0.88,5.15,0.76
281,0.89,5.18,0.78
282,0.89,5.18,0.78
283,0.89,5.18,0.78
284,0.89,5.12,0.78
285,0.89,5.13,0.78
286,0.89,5.13,0.78
287,0.89,5.13,0.78
288,0.89,5.12,0.78
289,0.89,5.12,0.78
290,0.88,5.11,0.76
291,0.88,5.11,0.76
292,0.88,5.13,0.76
293,0.88,5.13,0.76
294,0.89,5.16,0.78
295,0.89,5.2,0.78
296,0.9,5.21,0.8
297,0.9,5.2,0.8
298,0.9,5.2,0.8
299,0.9,5.22,0.8
300,0.89,5.21,0.78
