,QL with Constant Epsilon Overall_Accuracy,QL with Constant Epsilon Overall_Steps,QL with Constant Epsilon Overall_Reward
2497,0.9,5.23,0.8
2498,0.9,5.22,0.8
2499,0.9,5.22,0.8
2500,0.89,5.2,0.78
2501,0.89,5.18,0.78
2502,0.89,5.18,0.78
2503,0.89,5.19,0.78
2504,0.9,5.22,0.8
2505,0.89,5.19,0.78
2506,0.89,5.19,0.78
2507,0.89,5.18,0.78
2508,0.89,5.18,0.78
2509,0.89,5.18,0.78
2510,0.89,5.2,0.78
2511,0.89,5.2,0.78
2512,0.9,5.23,0.8
2513,0.91,5.28,0.82
2514,0.91,5.27,0.82
2515,0.91,5.29,0.82
2516,0.91,5.31,0.82
2517,0.91,5.32,0.82
2518,0.91,5.32,0.82
2519,0.91,5.32,0.82
2520,0.91,5.31,0.82
2521,0.91,5.31,0.82
2522,0.91,5.32,0.82
2523,0.91,5.33,0.82
2524,0.91,5.33,0.82
2525,0.91,5.32,0.82
2526,0.91,5.32,0.82
2527,0.91,5.32,0.82
2528,0.91,5.29,0.82
2529,0.91,5.27,0.82
2530,0.91,5.25,0.82
2531,0.92,5.27,0.84
2532,0.92,5.27,0.84
2533,0.92,5.26,0.84
2534,0.92,5.28,0.84
2535,0.92,5.3,0.84
2536,0.92,5.29,0.84
2537,0.92,5.29,0.84
2538,0.92,5.29,0.84
2539,0.92,5.31,0.84
2540,0.92,5.31,0.84
2541,0.91,5.27,0.82
2542,0.91,5.27,0.82
2543,0.91,5.27,0.82
2544,0.91,5.26,0.82
2545,0.91,5.25,0.82
2546,0.9,5.22,0.8
2547,0.89,5.19,0.78
2548,0.9,5.22,0.8
2549,0.9,5.24,0.8
2550,0.9,5.24,0.8
2551,0.89,5.19,0.78
2552,0.89,5.19,0.78
2553,0.89,5.19,0.78
2554,0.88,5.16,0.76
2555,0.88,5.15,0.76
2556,0.88,5.13,0.76
2557,0.88,5.15,0.76
2558,0.88,5.14,0.76
2559,0.87,5.11,0.74
2560,0.87,5.11,0.74
2561,0.87,5.11,0.74
2562,0.87,5.14,0.74
2563,0.87,5.14,0.74
2564,0.87,5.14,0.74
2565,0.87,5.15,0.74
2566,0.87,5.16,0.74
2567,0.87,5.12,0.74
2568,0.87,5.11,0.74
2569,0.87,5.11,0.74
2570,0.87,5.11,0.74
2571,0.86,5.07,0.72
2572,0.86,5.07,0.72
2573,0.87,5.09,0.74
2574,0.87,5.09,0.74
2575,0.87,5.09,0.74
2576,0.87,5.11,0.74
2577,0.87,5.09,0.74
2578,0.87,5.1,0.74
2579,0.87,5.1,0.74
2580,0.87,5.1,0.74
2581,0.87,5.1,0.74
2582,0.88,5.12,0.76
2583,0.88,5.13,0.76
2584,0.88,5.1,0.76
2585,0.88,5.1,0.76
2586,0.88,5.12,0.76
2587,0.88,5.12,0.76
2588,0.89,5.18,0.78
2589,0.89,5.18,0.78
2590,0.88,5.15,0.76
2591,0.88,5.15,0.76
2592,0.88,5.17,0.76
2593,0.88,5.19,0.76
2594,0.88,5.21,0.76
2595,0.88,5.21,0.76
2596,0.88,5.22,0.76
2597,0.88,5.22,0.76
2598,0.87,5.18,0.74
2599,0.87,5.18,0.74
2600,0.88,5.2,0.76
2601,0.88,5.2,0.76
2602,0.88,5.2,0.76
2603,0.88,5.19,0.76
2604,0.88,5.19,0.76
2605,0.89,5.22,0.78
2606,0.89,5.22,0.78
2607,0.89,5.21,0.78
2608,0.89,5.19,0.78
2609,0.89,5.19,0.78
2610,0.89,5.17,0.78
2611,0.89,5.17,0.78
2612,0.89,5.18,0.78
2613,0.89,5.18,0.78
2614,0.89,5.18,0.78
2615,0.89,5.16,0.78
2616,0.89,5.14,0.78
2617,0.89,5.13,0.78
2618,0.89,5.13,0.78
2619,0.88,5.09,0.76
2620,0.88,5.09,0.76
2621,0.88,5.09,0.76
2622,0.88,5.07,0.76
2623,0.88,5.06,0.76
2624,0.88,5.04,0.76
2625,0.88,5.05,0.76
2626,0.87,5.02,0.74
2627,0.87,5.02,0.74
2628,0.87,5.02,0.74
2629,0.87,5.02,0.74
2630,0.87,5.03,0.74
2631,0.86,5.02,0.72
2632,0.86,5.02,0.72
2633,0.86,5.02,0.72
2634,0.85,4.98,0.7
2635,0.85,4.95,0.7
2636,0.85,4.97,0.7
2637,0.85,4.99,0.7
2638,0.85,4.99,0.7
2639,0.85,4.97,0.7
2640,0.84,4.93,0.68
2641,0.85,4.97,0.7
2642,0.84,4.95,0.68
2643,0.84,4.95,0.68
2644,0.84,4.95,0.68
2645,0.84,4.97,0.68
2646,0.85,4.99,0.7
2647,0.85,4.96,0.7
2648,0.85,4.99,0.7
2649,0.85,4.97,0.7
2650,0.85,4.95,0.7
2651,0.85,4.93,0.7
2652,0.85,4.93,0.7
2653,0.85,4.94,0.7
2654,0.86,4.97,0.72
2655,0.85,4.94,0.7
2656,0.85,4.96,0.7
2657,0.85,4.94,0.7
2658,0.85,4.94,0.7
2659,0.86,4.98,0.72
2660,0.85,4.95,0.7
2661,0.85,4.95,0.7
2662,0.84,4.89,0.68
2663,0.84,4.89,0.68
2664,0.84,4.89,0.68
2665,0.84,4.9,0.68
2666,0.84,4.89,0.68
2667,0.84,4.89,0.68
2668,0.84,4.88,0.68
2669,0.84,4.88,0.68
2670,0.84,4.88,0.68
2671,0.85,4.9,0.7
2672,0.85,4.9,0.7
2673,0.85,4.9,0.7
2674,0.85,4.91,0.7
2675,0.85,4.93,0.7
2676,0.85,4.91,0.7
2677,0.86,4.95,0.72
2678,0.86,4.94,0.72
2679,0.86,4.96,0.72
2680,0.86,4.98,0.72
2681,0.86,4.98,0.72
2682,0.86,4.98,0.72
2683,0.86,4.97,0.72
2684,0.87,5.01,0.74
2685,0.87,5.01,0.74
2686,0.87,4.99,0.74
2687,0.87,4.99,0.74
2688,0.87,4.97,0.74
2689,0.86,4.96,0.72
2690,0.87,5.01,0.74
2691,0.87,5.01,0.74
2692,0.87,4.99,0.74
2693,0.87,4.97,0.74
2694,0.87,4.95,0.74
2695,0.87,4.95,0.74
2696,0.87,4.94,0.74
2697,0.87,4.94,0.74
2698,0.87,4.94,0.74
2699,0.86,4.91,0.72
2700,0.86,4.91,0.72
2701,0.85,4.89,0.7
2702,0.85,4.89,0.7
2703,0.85,4.9,0.7
2704,0.85,4.93,0.7
2705,0.85,4.93,0.7
2706,0.85,4.93,0.7
2707,0.85,4.94,0.7
2708,0.85,4.96,0.7
2709,0.85,4.96,0.7
2710,0.85,4.96,0.7
2711,0.85,4.96,0.7
2712,0.85,4.96,0.7
2713,0.85,4.95,0.7
2714,0.85,4.95,0.7
2715,0.85,4.95,0.7
2716,0.85,4.95,0.7
2717,0.85,4.95,0.7
2718,0.85,4.95,0.7
2719,0.86,5.02,0.72
2720,0.86,5.02,0.72
2721,0.86,5.02,0.72
2722,0.86,5.01,0.72
2723,0.86,5.02,0.72
2724,0.86,5.02,0.72
2725,0.85,4.99,0.7
2726,0.86,5.02,0.72
2727,0.86,5.02,0.72
2728,0.86,5.02,0.72
2729,0.86,5.02,0.72
2730,0.86,5.01,0.72
2731,0.87,5.02,0.74
2732,0.87,5.02,0.74
2733,0.87,5.02,0.74
2734,0.88,5.06,0.76
2735,0.87,5.04,0.74
2736,0.87,5.02,0.74
2737,0.87,5,0.74
2738,0.87,5,0.74
2739,0.86,4.98,0.72
2740,0.87,5.02,0.74
2741,0.87,5.02,0.74
2742,0.88,5.04,0.76
2743,0.88,5.04,0.76
2744,0.88,5.04,0.76
2745,0.88,5.06,0.76
2746,0.88,5.06,0.76
2747,0.89,5.11,0.78
2748,0.89,5.1,0.78
2749,0.89,5.1,0.78
2750,0.89,5.12,0.78
2751,0.9,5.16,0.8
2752,0.9,5.16,0.8
2753,0.89,5.11,0.78
2754,0.89,5.11,0.78
2755,0.9,5.14,0.8
2756,0.9,5.12,0.8
2757,0.9,5.12,0.8
2758,0.9,5.14,0.8
2759,0.9,5.13,0.8
2760,0.91,5.16,0.82
2761,0.91,5.18,0.82
2762,0.92,5.22,0.84
2763,0.92,5.22,0.84
2764,0.91,5.18,0.82
2765,0.91,5.16,0.82
2766,0.91,5.18,0.82
2767,0.91,5.2,0.82
2768,0.91,5.2,0.82
2769,0.91,5.2,0.82
2770,0.91,5.22,0.82
2771,0.9,5.22,0.8
2772,0.89,5.2,0.78
2773,0.88,5.19,0.76
2774,0.87,5.15,0.74
2775,0.87,5.13,0.74
2776,0.87,5.15,0.74
2777,0.87,5.15,0.74
2778,0.87,5.17,0.74
2779,0.87,5.15,0.74
2780,0.87,5.13,0.74
2781,0.86,5.15,0.72
2782,0.86,5.15,0.72
2783,0.86,5.15,0.72
2784,0.85,5.13,0.7
2785,0.85,5.13,0.7
2786,0.85,5.13,0.7
2787,0.85,5.15,0.7
2788,0.85,5.16,0.7
2789,0.86,5.17,0.72
2790,0.86,5.17,0.72
2791,0.86,5.17,0.72
2792,0.86,5.17,0.72
2793,0.86,5.17,0.72
2794,0.86,5.18,0.72
2795,0.85,5.15,0.7
2796,0.85,5.15,0.7
2797,0.85,5.15,0.7
2798,0.85,5.18,0.7
2799,0.86,5.21,0.72
2800,0.86,5.21,0.72
2801,0.87,5.22,0.74
2802,0.87,5.22,0.74
2803,0.87,5.21,0.74
2804,0.87,5.18,0.74
2805,0.87,5.18,0.74
2806,0.87,5.18,0.74
2807,0.86,5.15,0.72
2808,0.86,5.13,0.72
2809,0.86,5.13,0.72
2810,0.85,5.11,0.7
2811,0.85,5.11,0.7
2812,0.85,5.09,0.7
2813,0.85,5.09,0.7
2814,0.85,5.09,0.7
2815,0.85,5.09,0.7
2816,0.84,5.06,0.68
2817,0.84,5.06,0.68
2818,0.84,5.06,0.68
2819,0.84,5.03,0.68
2820,0.84,5.03,0.68
2821,0.84,5.03,0.68
2822,0.84,5.03,0.68
2823,0.84,5.02,0.68
2824,0.84,5.03,0.68
2825,0.85,5.05,0.7
2826,0.84,5.01,0.68
2827,0.84,5.01,0.68
2828,0.84,5.01,0.68
2829,0.84,5.01,0.68
2830,0.84,5.01,0.68
2831,0.84,5.04,0.68
2832,0.84,5.04,0.68
2833,0.84,5.04,0.68
2834,0.83,5.01,0.66
2835,0.84,5.02,0.68
2836,0.83,4.99,0.66
2837,0.83,4.99,0.66
2838,0.83,5.01,0.66
2839,0.84,5.03,0.68
2840,0.84,5.03,0.68
2841,0.84,5.03,0.68
2842,0.84,5.03,0.68
2843,0.84,5.05,0.68
2844,0.84,5.05,0.68
2845,0.84,5.01,0.68
2846,0.84,5.02,0.68
2847,0.84,5.01,0.68
2848,0.84,5,0.68
2849,0.83,4.96,0.66
2850,0.83,4.95,0.66
2851,0.83,4.95,0.66
2852,0.83,4.95,0.66
2853,0.84,4.99,0.68
2854,0.84,4.99,0.68
2855,0.83,4.97,0.66
2856,0.83,4.97,0.66
2857,0.83,4.97,0.66
2858,0.83,4.95,0.66
2859,0.83,4.95,0.66
2860,0.83,4.97,0.66
2861,0.83,4.95,0.66
2862,0.83,4.96,0.66
2863,0.83,4.96,0.66
2864,0.84,5,0.68
2865,0.84,5,0.68
2866,0.84,4.98,0.68
2867,0.84,4.97,0.68
2868,0.84,4.97,0.68
2869,0.84,4.99,0.68
2870,0.84,4.98,0.68
2871,0.84,4.95,0.68
2872,0.85,4.97,0.7
2873,0.86,4.98,0.72
2874,0.87,5.01,0.74
2875,0.87,5.01,0.74
2876,0.87,4.99,0.74
2877,0.87,4.99,0.74
2878,0.87,4.97,0.74
2879,0.87,4.97,0.74
2880,0.87,4.97,0.74
2881,0.88,4.95,0.76
2882,0.88,4.97,0.76
2883,0.88,4.97,0.76
2884,0.88,4.95,0.76
2885,0.88,4.95,0.76
2886,0.88,4.95,0.76
2887,0.88,4.93,0.76
2888,0.87,4.88,0.74
2889,0.87,4.88,0.74
2890,0.87,4.86,0.74
2891,0.86,4.85,0.72
2892,0.86,4.85,0.72
2893,0.86,4.86,0.72
2894,0.86,4.85,0.72
2895,0.87,4.92,0.74
2896,0.87,4.92,0.74
2897,0.87,4.92,0.74
2898,0.88,4.94,0.76
2899,0.88,4.94,0.76
2900,0.87,4.92,0.74
2901,0.87,4.92,0.74
2902,0.87,4.92,0.74
2903,0.87,4.94,0.74
2904,0.87,4.94,0.74
2905,0.87,4.94,0.74
2906,0.87,4.94,0.74
2907,0.87,4.92,0.74
2908,0.86,4.88,0.72
2909,0.86,4.88,0.72
2910,0.87,4.9,0.74
2911,0.87,4.9,0.74
2912,0.87,4.9,0.74
2913,0.87,4.9,0.74
2914,0.87,4.9,0.74
2915,0.87,4.9,0.74
2916,0.88,4.93,0.76
2917,0.88,4.94,0.76
2918,0.88,4.94,0.76
2919,0.88,4.94,0.76
2920,0.88,4.94,0.76
2921,0.87,4.9,0.74
2922,0.87,4.9,0.74
2923,0.86,4.86,0.72
2924,0.86,4.85,0.72
2925,0.86,4.88,0.72
2926,0.87,4.92,0.74
2927,0.86,4.88,0.72
2928,0.86,4.88,0.72
2929,0.86,4.88,0.72
2930,0.86,4.88,0.72
2931,0.86,4.85,0.72
2932,0.86,4.86,0.72
2933,0.86,4.88,0.72
2934,0.87,4.89,0.74
2935,0.87,4.89,0.74
2936,0.88,4.92,0.76
2937,0.88,4.94,0.76
2938,0.88,4.92,0.76
2939,0.88,4.92,0.76
2940,0.88,4.92,0.76
2941,0.88,4.92,0.76
2942,0.88,4.93,0.76
2943,0.88,4.91,0.76
2944,0.88,4.91,0.76
2945,0.88,4.91,0.76
2946,0.87,4.86,0.74
2947,0.87,4.86,0.74
2948,0.87,4.85,0.74
2949,0.88,4.89,0.76
2950,0.88,4.88,0.76
2951,0.87,4.86,0.74
2952,0.87,4.86,0.74
2953,0.87,4.86,0.74
2954,0.87,4.87,0.74
2955,0.88,4.91,0.76
2956,0.88,4.91,0.76
2957,0.88,4.91,0.76
2958,0.88,4.91,0.76
2959,0.88,4.91,0.76
2960,0.88,4.89,0.76
2961,0.88,4.89,0.76
2962,0.88,4.87,0.76
2963,0.88,4.87,0.76
2964,0.87,4.83,0.74
2965,0.87,4.85,0.74
2966,0.87,4.85,0.74
2967,0.87,4.84,0.74
2968,0.87,4.86,0.74
2969,0.87,4.84,0.74
2970,0.87,4.84,0.74
2971,0.88,4.87,0.76
2972,0.88,4.87,0.76
2973,0.88,4.89,0.76
2974,0.88,4.89,0.76
2975,0.88,4.89,0.76
2976,0.88,4.89,0.76
2977,0.88,4.89,0.76
2978,0.88,4.91,0.76
2979,0.88,4.94,0.76
2980,0.88,4.94,0.76
2981,0.88,4.94,0.76
2982,0.88,4.92,0.76
2983,0.88,4.92,0.76
2984,0.89,4.98,0.78
2985,0.89,4.98,0.78
2986,0.89,4.98,0.78
2987,0.89,4.98,0.78
2988,0.9,5.04,0.8
2989,0.9,5.07,0.8
2990,0.9,5.09,0.8
2991,0.91,5.1,0.82
2992,0.91,5.1,0.82
2993,0.91,5.09,0.82
2994,0.9,5.05,0.8
2995,0.9,5.05,0.8
2996,0.9,5.05,0.8
2997,0.9,5.05,0.8
2998,0.9,5.04,0.8
2999,0.9,5.06,0.8
3000,0.91,5.08,0.82
3001,0.91,5.08,0.82
3002,0.91,5.08,0.82
3003,0.91,5.07,0.82
3004,0.91,5.08,0.82
3005,0.91,5.08,0.82
3006,0.91,5.08,0.82
3007,0.92,5.12,0.84
3008,0.93,5.16,0.86
3009,0.93,5.17,0.86
3010,0.93,5.17,0.86
3011,0.93,5.18,0.86
3012,0.93,5.2,0.86
3013,0.93,5.2,0.86
3014,0.92,5.16,0.84
3015,0.92,5.16,0.84
3016,0.91,5.12,0.82
3017,0.9,5.07,0.8
3018,0.9,5.07,0.8
3019,0.9,5.07,0.8
3020,0.9,5.08,0.8
3021,0.91,5.12,0.82
3022,0.91,5.12,0.82
3023,0.92,5.17,0.84
3024,0.92,5.17,0.84
3025,0.92,5.14,0.84
3026,0.92,5.15,0.84
3027,0.93,5.19,0.86
3028,0.92,5.17,0.84
3029,0.92,5.21,0.84
3030,0.92,5.21,0.84
3031,0.92,5.21,0.84
3032,0.92,5.22,0.84
3033,0.92,5.2,0.84
3034,0.92,5.2,0.84
3035,0.91,5.19,0.82
3036,0.91,5.21,0.82
3037,0.9,5.19,0.8
3038,0.9,5.19,0.8
3039,0.89,5.17,0.78
3040,0.89,5.17,0.78
3041,0.89,5.18,0.78
3042,0.89,5.17,0.78
3043,0.89,5.17,0.78
3044,0.89,5.17,0.78
3045,0.89,5.17,0.78
3046,0.9,5.21,0.8
3047,0.9,5.21,0.8
3048,0.9,5.22,0.8
3049,0.9,5.22,0.8
3050,0.9,5.23,0.8
3051,0.91,5.25,0.82
3052,0.91,5.25,0.82
3053,0.91,5.26,0.82
3054,0.91,5.25,0.82
3055,0.91,5.23,0.82
3056,0.91,5.23,0.82
3057,0.91,5.23,0.82
3058,0.91,5.24,0.82
3059,0.91,5.24,0.82
3060,0.91,5.25,0.82
3061,0.91,5.25,0.82
3062,0.91,5.25,0.82
3063,0.91,5.25,0.82
3064,0.92,5.29,0.84
3065,0.91,5.24,0.82
3066,0.91,5.24,0.82
3067,0.91,5.25,0.82
3068,0.91,5.23,0.82
3069,0.91,5.23,0.82
3070,0.91,5.22,0.82
3071,0.91,5.22,0.82
3072,0.91,5.22,0.82
3073,0.91,5.2,0.82
3074,0.91,5.21,0.82
3075,0.9,5.19,0.8
3076,0.89,5.17,0.78
3077,0.89,5.17,0.78
3078,0.89,5.15,0.78
3079,0.89,5.12,0.78
3080,0.89,5.12,0.78
3081,0.89,5.13,0.78
3082,0.89,5.13,0.78
3083,0.89,5.13,0.78
3084,0.89,5.12,0.78
3085,0.89,5.12,0.78
3086,0.89,5.12,0.78
3087,0.89,5.12,0.78
3088,0.89,5.1,0.78
3089,0.89,5.07,0.78
3090,0.89,5.05,0.78
3091,0.89,5.05,0.78
3092,0.89,5.05,0.78
3093,0.88,5.03,0.76
3094,0.89,5.07,0.78
3095,0.89,5.03,0.78
3096,0.89,5.07,0.78
3097,0.89,5.07,0.78
3098,0.89,5.07,0.78
3099,0.88,5.01,0.76
3100,0.88,5.03,0.76
3101,0.88,5.03,0.76
3102,0.88,5.05,0.76
3103,0.88,5.04,0.76
3104,0.88,5.05,0.76
3105,0.88,5.08,0.76
3106,0.88,5.1,0.76
3107,0.88,5.1,0.76
3108,0.88,5.1,0.76
3109,0.88,5.1,0.76
3110,0.88,5.1,0.76
3111,0.88,5.09,0.76
3112,0.88,5.07,0.76
3113,0.88,5.07,0.76
3114,0.89,5.11,0.78
3115,0.89,5.13,0.78
3116,0.9,5.17,0.8
3117,0.91,5.21,0.82
3118,0.91,5.23,0.82
3119,0.91,5.23,0.82
3120,0.91,5.22,0.82
3121,0.91,5.25,0.82
3122,0.91,5.25,0.82
3123,0.91,5.25,0.82
3124,0.91,5.25,0.82
3125,0.91,5.25,0.82
3126,0.91,5.24,0.82
3127,0.9,5.2,0.8
3128,0.91,5.22,0.82
3129,0.91,5.21,0.82
3130,0.91,5.21,0.82
3131,0.91,5.21,0.82
3132,0.91,5.19,0.82
3133,0.91,5.19,0.82
3134,0.91,5.19,0.82
3135,0.92,5.2,0.84
3136,0.92,5.19,0.84
3137,0.93,5.19,0.86
3138,0.93,5.19,0.86
3139,0.94,5.21,0.88
3140,0.94,5.21,0.88
3141,0.94,5.23,0.88
3142,0.94,5.24,0.88
3143,0.94,5.26,0.88
3144,0.94,5.26,0.88
3145,0.94,5.26,0.88
3146,0.94,5.26,0.88
3147,0.94,5.26,0.88
3148,0.94,5.25,0.88
3149,0.94,5.26,0.88
3150,0.94,5.25,0.88
3151,0.94,5.25,0.88
3152,0.94,5.27,0.88
3153,0.94,5.26,0.88
3154,0.94,5.29,0.88
3155,0.94,5.29,0.88
3156,0.94,5.29,0.88
3157,0.94,5.29,0.88
3158,0.94,5.31,0.88
3159,0.94,5.31,0.88
3160,0.94,5.3,0.88
3161,0.94,5.35,0.88
3162,0.94,5.37,0.88
3163,0.94,5.37,0.88
3164,0.94,5.37,0.88
3165,0.94,5.36,0.88
3166,0.94,5.36,0.88
3167,0.94,5.35,0.88
3168,0.94,5.37,0.88
3169,0.94,5.37,0.88
3170,0.94,5.37,0.88
3171,0.94,5.37,0.88
3172,0.94,5.37,0.88
3173,0.94,5.37,0.88
3174,0.94,5.36,0.88
3175,0.95,5.38,0.9
3176,0.96,5.4,0.92
3177,0.96,5.4,0.92
3178,0.96,5.4,0.92
3179,0.96,5.4,0.92
3180,0.95,5.37,0.9
3181,0.95,5.38,0.9
3182,0.95,5.38,0.9
3183,0.95,5.4,0.9
3184,0.95,5.41,0.9
3185,0.95,5.41,0.9
3186,0.95,5.42,0.9
3187,0.95,5.42,0.9
3188,0.95,5.42,0.9
3189,0.95,5.42,0.9
3190,0.95,5.42,0.9
3191,0.95,5.42,0.9
3192,0.95,5.42,0.9
3193,0.96,5.44,0.92
3194,0.96,5.44,0.92
3195,0.96,5.44,0.92
3196,0.96,5.42,0.92
3197,0.96,5.42,0.92
3198,0.96,5.42,0.92
3199,0.97,5.46,0.94
3200,0.97,5.44,0.94
3201,0.97,5.44,0.94
3202,0.97,5.44,0.94
3203,0.97,5.44,0.94
3204,0.97,5.42,0.94
3205,0.97,5.41,0.94
3206,0.97,5.39,0.94
3207,0.97,5.39,0.94
3208,0.97,5.39,0.94
3209,0.97,5.38,0.94
3210,0.97,5.38,0.94
3211,0.97,5.38,0.94
3212,0.97,5.42,0.94
3213,0.97,5.42,0.94
3214,0.97,5.43,0.94
3215,0.97,5.41,0.94
3216,0.97,5.41,0.94
3217,0.96,5.4,0.92
3218,0.96,5.4,0.92
3219,0.96,5.4,0.92
3220,0.96,5.4,0.92
3221,0.96,5.37,0.92
3222,0.96,5.38,0.92
3223,0.96,5.39,0.92
3224,0.96,5.41,0.92
3225,0.96,5.41,0.92
3226,0.96,5.43,0.92
3227,0.97,5.47,0.94
3228,0.97,5.47,0.94
3229,0.97,5.45,0.94
3230,0.97,5.45,0.94
3231,0.97,5.45,0.94
3232,0.97,5.45,0.94
3233,0.97,5.45,0.94
3234,0.97,5.45,0.94
3235,0.96,5.43,0.92
3236,0.96,5.44,0.92
3237,0.96,5.46,0.92
3238,0.96,5.46,0.92
3239,0.96,5.46,0.92
3240,0.96,5.46,0.92
3241,0.96,5.43,0.92
3242,0.96,5.42,0.92
3243,0.96,5.4,0.92
3244,0.96,5.4,0.92
3245,0.95,5.36,0.9
3246,0.95,5.38,0.9
3247,0.95,5.38,0.9
3248,0.95,5.38,0.9
3249,0.95,5.39,0.9
3250,0.95,5.39,0.9
3251,0.95,5.39,0.9
3252,0.95,5.37,0.9
3253,0.95,5.38,0.9
3254,0.95,5.35,0.9
3255,0.95,5.35,0.9
3256,0.95,5.35,0.9
3257,0.95,5.35,0.9
3258,0.95,5.32,0.9
3259,0.95,5.32,0.9
3260,0.95,5.32,0.9
3261,0.95,5.27,0.9
3262,0.95,5.25,0.9
3263,0.95,5.27,0.9
3264,0.95,5.27,0.9
3265,0.96,5.31,0.92
3266,0.96,5.31,0.92
3267,0.96,5.33,0.92
3268,0.96,5.31,0.92
3269,0.96,5.31,0.92
3270,0.96,5.33,0.92
3271,0.95,5.32,0.9
3272,0.94,5.29,0.88
3273,0.94,5.29,0.88
3274,0.94,5.31,0.88
3275,0.94,5.31,0.88
3276,0.94,5.31,0.88
3277,0.94,5.31,0.88
3278,0.94,5.35,0.88
3279,0.93,5.34,0.86
3280,0.94,5.4,0.88
3281,0.94,5.38,0.88
3282,0.94,5.38,0.88
3283,0.93,5.34,0.86
3284,0.93,5.32,0.86
3285,0.93,5.34,0.86
3286,0.93,5.36,0.86
3287,0.93,5.36,0.86
3288,0.92,5.37,0.84
3289,0.92,5.37,0.84
3290,0.91,5.33,0.82
3291,0.91,5.33,0.82
3292,0.9,5.29,0.8
3293,0.9,5.29,0.8
3294,0.9,5.29,0.8
3295,0.9,5.29,0.8
3296,0.9,5.29,0.8
3297,0.9,5.29,0.8
3298,0.9,5.29,0.8
3299,0.9,5.29,0.8
3300,0.9,5.29,0.8
3301,0.9,5.29,0.8
3302,0.9,5.27,0.8
3303,0.9,5.27,0.8
3304,0.9,5.27,0.8
3305,0.89,5.24,0.78
3306,0.89,5.24,0.78
3307,0.89,5.26,0.78
3308,0.89,5.26,0.78
3309,0.89,5.26,0.78
3310,0.89,5.26,0.78
3311,0.89,5.26,0.78
3312,0.89,5.22,0.78
3313,0.89,5.22,0.78
3314,0.89,5.21,0.78
3315,0.89,5.22,0.78
3316,0.89,5.22,0.78
3317,0.9,5.23,0.8
3318,0.89,5.2,0.78
3319,0.89,5.2,0.78
3320,0.89,5.2,0.78
3321,0.88,5.18,0.76
3322,0.88,5.17,0.76
3323,0.88,5.15,0.76
3324,0.88,5.13,0.76
3325,0.88,5.13,0.76
3326,0.88,5.11,0.76
3327,0.88,5.11,0.76
3328,0.88,5.11,0.76
3329,0.88,5.1,0.76
3330,0.88,5.1,0.76
3331,0.88,5.1,0.76
3332,0.88,5.1,0.76
3333,0.88,5.1,0.76
3334,0.88,5.1,0.76
3335,0.89,5.12,0.78
3336,0.89,5.1,0.78
3337,0.88,5.06,0.76
3338,0.88,5.06,0.76
3339,0.88,5.08,0.76
3340,0.88,5.08,0.76
3341,0.88,5.08,0.76
3342,0.88,5.08,0.76
3343,0.87,5.07,0.74
3344,0.86,5.09,0.72
3345,0.87,5.13,0.74
3346,0.87,5.11,0.74
3347,0.87,5.12,0.74
3348,0.87,5.12,0.74
3349,0.86,5.06,0.72
3350,0.86,5.06,0.72
3351,0.86,5.08,0.72
3352,0.86,5.08,0.72
3353,0.86,5.07,0.72
3354,0.86,5.07,0.72
3355,0.86,5.08,0.72
3356,0.86,5.08,0.72
3357,0.86,5.08,0.72
3358,0.86,5.08,0.72
3359,0.85,5.05,0.7
3360,0.85,5.05,0.7
3361,0.85,5.06,0.7
3362,0.85,5.06,0.7
3363,0.85,5.04,0.7
3364,0.85,5.04,0.7
3365,0.85,5.07,0.7
3366,0.84,5.05,0.68
3367,0.84,5.03,0.68
3368,0.84,5.05,0.68
3369,0.84,5.05,0.68
3370,0.84,5.05,0.68
3371,0.85,5.07,0.7
3372,0.86,5.1,0.72
3373,0.86,5.1,0.72
3374,0.86,5.08,0.72
3375,0.86,5.08,0.72
3376,0.86,5.08,0.72
3377,0.86,5.08,0.72
3378,0.86,5.04,0.72
3379,0.87,5.05,0.74
3380,0.87,5.02,0.74
3381,0.87,5.02,0.74
3382,0.87,5.02,0.74
3383,0.88,5.04,0.76
3384,0.88,5.04,0.76
3385,0.88,5.03,0.76
3386,0.88,5,0.76
3387,0.88,5,0.76
3388,0.88,4.97,0.76
3389,0.88,4.97,0.76
3390,0.89,5.02,0.78
3391,0.89,5.02,0.78
3392,0.9,5.06,0.8
3393,0.9,5.06,0.8
3394,0.89,5.05,0.78
3395,0.89,5.07,0.78
3396,0.89,5.05,0.78
3397,0.89,5.05,0.78
3398,0.89,5.07,0.78
3399,0.89,5.07,0.78
3400,0.89,5.07,0.78
3401,0.89,5.07,0.78
3402,0.89,5.07,0.78
3403,0.89,5.07,0.78
3404,0.89,5.07,0.78
3405,0.9,5.08,0.8
3406,0.9,5.11,0.8
3407,0.9,5.09,0.8
3408,0.9,5.09,0.8
3409,0.9,5.09,0.8
3410,0.9,5.09,0.8
3411,0.9,5.09,0.8
3412,0.89,5.05,0.78
3413,0.89,5.05,0.78
3414,0.89,5.05,0.78
3415,0.89,5.04,0.78
3416,0.89,5.04,0.78
3417,0.89,5.04,0.78
3418,0.9,5.05,0.8
3419,0.89,5.02,0.78
3420,0.89,5.02,0.78
3421,0.9,5.04,0.8
3422,0.9,5.07,0.8
3423,0.9,5.07,0.8
3424,0.9,5.08,0.8
3425,0.9,5.09,0.8
3426,0.9,5.09,0.8
