,Q_Rewards1,Q_noSteps1,Q_Accuracy1,Moving_Average_Accuracy1,Moving_Average_Step1,Moving_Average_Reward1,Overall_Accuracy,Overall_Steps,Overall_Reward
65,-1,36,0,0.0,27.015151515151516,-1.0,0.0,27.015151515151516,-1.0
66,1,163,1,0.014925373134328358,29.044776119402986,-0.9701492537313433,0.014925373134328358,29.044776119402986,-0.9701492537313433
67,-1,39,0,0.014705882352941176,29.191176470588236,-0.9705882352941176,0.014705882352941176,29.191176470588236,-0.9705882352941176
68,-1,44,0,0.014492753623188406,29.405797101449274,-0.9710144927536232,0.014492753623188406,29.405797101449274,-0.9710144927536232
69,-1,79,0,0.014285714285714285,30.114285714285714,-0.9714285714285714,0.014285714285714285,30.114285714285714,-0.9714285714285714
70,-1,44,0,0.014084507042253521,30.309859154929576,-0.971830985915493,0.014084507042253521,30.309859154929576,-0.971830985915493
71,-1,49,0,0.013888888888888888,30.569444444444443,-0.9722222222222222,0.013888888888888888,30.569444444444443,-0.9722222222222222
72,-1,76,0,0.0136986301369863,31.19178082191781,-0.9726027397260274,0.0136986301369863,31.19178082191781,-0.9726027397260274
73,-1,23,0,0.013513513513513514,31.08108108108108,-0.972972972972973,0.013513513513513514,31.08108108108108,-0.972972972972973
74,-1,9,0,0.013333333333333334,30.786666666666665,-0.9733333333333334,0.013333333333333334,30.786666666666665,-0.9733333333333334
75,-1,5,0,0.013157894736842105,30.44736842105263,-0.9736842105263158,0.013157894736842105,30.44736842105263,-0.9736842105263158
76,-1,34,0,0.012987012987012988,30.493506493506494,-0.974025974025974,0.012987012987012988,30.493506493506494,-0.974025974025974
77,-1,13,0,0.01282051282051282,30.26923076923077,-0.9743589743589743,0.01282051282051282,30.26923076923077,-0.9743589743589743
78,-1,127,0,0.012658227848101266,31.49367088607595,-0.9746835443037974,0.012658227848101266,31.49367088607595,-0.9746835443037974
79,-1,36,0,0.0125,31.55,-0.975,0.0125,31.55,-0.975
80,1,52,1,0.024691358024691357,31.80246913580247,-0.9506172839506173,0.024691358024691357,31.80246913580247,-0.9506172839506173
81,-1,24,0,0.024390243902439025,31.70731707317073,-0.9512195121951219,0.024390243902439025,31.70731707317073,-0.9512195121951219
82,-1,11,0,0.024096385542168676,31.457831325301203,-0.9518072289156626,0.024096385542168676,31.457831325301203,-0.9518072289156626
83,-1,94,0,0.023809523809523808,32.20238095238095,-0.9523809523809523,0.023809523809523808,32.20238095238095,-0.9523809523809523
84,-1,2,0,0.023529411764705882,31.847058823529412,-0.9529411764705882,0.023529411764705882,31.847058823529412,-0.9529411764705882
85,1,36,1,0.03488372093023256,31.8953488372093,-0.9302325581395349,0.03488372093023256,31.8953488372093,-0.9302325581395349
86,-1,33,0,0.034482758620689655,31.908045977011493,-0.9310344827586207,0.034482758620689655,31.908045977011493,-0.9310344827586207
87,-1,52,0,0.03409090909090909,32.13636363636363,-0.9318181818181818,0.03409090909090909,32.13636363636363,-0.9318181818181818
88,-1,55,0,0.033707865168539325,32.39325842696629,-0.9325842696629213,0.033707865168539325,32.39325842696629,-0.9325842696629213
89,1,65,1,0.044444444444444446,32.75555555555555,-0.9111111111111111,0.044444444444444446,32.75555555555555,-0.9111111111111111
90,-1,74,0,0.04395604395604396,33.20879120879121,-0.9120879120879121,0.04395604395604396,33.20879120879121,-0.9120879120879121
91,-1,36,0,0.043478260869565216,33.23913043478261,-0.9130434782608695,0.043478260869565216,33.23913043478261,-0.9130434782608695
92,-1,31,0,0.043010752688172046,33.215053763440864,-0.9139784946236559,0.043010752688172046,33.215053763440864,-0.9139784946236559
93,1,58,1,0.05319148936170213,33.47872340425532,-0.8936170212765957,0.05319148936170213,33.47872340425532,-0.8936170212765957
94,-1,67,0,0.05263157894736842,33.83157894736842,-0.8947368421052632,0.05263157894736842,33.83157894736842,-0.8947368421052632
95,1,130,1,0.0625,34.833333333333336,-0.875,0.0625,34.833333333333336,-0.875
96,1,24,1,0.07216494845360824,34.72164948453608,-0.8556701030927835,0.07216494845360824,34.72164948453608,-0.8556701030927835
97,1,40,1,0.08163265306122448,34.775510204081634,-0.8367346938775511,0.08163265306122448,34.775510204081634,-0.8367346938775511
98,-1,51,0,0.08080808080808081,34.93939393939394,-0.8383838383838383,0.08080808080808081,34.93939393939394,-0.8383838383838383
99,-1,17,0,0.08,34.76,-0.84,0.08,34.76,-0.84
100,-1,19,0,0.08,34.83,-0.84,0.08,34.83,-0.84
101,1,69,1,0.09,35.46,-0.82,0.09,35.46,-0.82
102,-1,45,0,0.09,35.46,-0.82,0.09,35.46,-0.82
103,1,27,1,0.1,35.62,-0.8,0.1,35.62,-0.8
