,Q_Rewards1,Q_noSteps1,Q_Accuracy1,Moving_Average_Accuracy1,Moving_Average_Step1,Moving_Average_Reward1,Overall_Accuracy,Overall_Steps,Overall_Reward
1444,-1,3563,0,0.0,15369.74,-0.98,0.0,15369.74,-0.98
1445,-1,1478,0,0.0,14884.52,-0.99,0.0,14884.52,-0.99
1446,-1,23844,0,0.0,14884.88,-0.99,0.0,14884.88,-0.99
1447,-1,6193,0,0.0,14791.13,-0.99,0.0,14791.13,-0.99
1448,0,50000,0,0.0,15135.86,-0.98,0.0,15135.86,-0.98
1449,-1,7564,0,0.0,15051.24,-0.98,0.0,15051.24,-0.98
1450,-1,11139,0,0.0,15036.67,-0.98,0.0,15036.67,-0.98
1451,-1,13563,0,0.0,15051.65,-0.98,0.0,15051.65,-0.98
1452,-1,29704,0,0.0,15223.82,-0.98,0.0,15223.82,-0.98
1453,-1,23832,0,0.0,15382.44,-0.98,0.0,15382.44,-0.98
1454,-1,48151,0,0.0,15757.51,-0.98,0.0,15757.51,-0.98
1455,-1,9929,0,0.0,15800.49,-0.98,0.0,15800.49,-0.98
1456,-1,17881,0,0.0,15812.36,-0.98,0.0,15812.36,-0.98
1457,-1,37927,0,0.0,16098.81,-0.98,0.0,16098.81,-0.98
1458,-1,2483,0,0.0,15888.34,-0.98,0.0,15888.34,-0.98
1459,-1,7767,0,0.0,15895.21,-0.98,0.0,15895.21,-0.98
1460,-1,41396,0,0.0,16230.34,-0.98,0.0,16230.34,-0.98
1461,-1,38913,0,0.0,16397.57,-0.98,0.0,16397.57,-0.98
1462,-1,16417,0,0.0,16302.45,-0.98,0.0,16302.45,-0.98
1463,-1,29507,0,0.0,16437.73,-0.98,0.0,16437.73,-0.98
1464,-1,1143,0,0.0,16200.21,-0.98,0.0,16200.21,-0.98
1465,-1,2319,0,0.0,15947.55,-0.98,0.0,15947.55,-0.98
1466,-1,2451,0,0.0,15940.98,-0.98,0.0,15940.98,-0.98
1467,-1,16396,0,0.0,16073.22,-0.98,0.0,16073.22,-0.98
1468,-1,11345,0,0.0,16109.05,-0.98,0.0,16109.05,-0.98
1469,-1,30607,0,0.0,16309.44,-0.98,0.0,16309.44,-0.98
1470,-1,6666,0,0.0,16246.11,-0.98,0.0,16246.11,-0.98
1471,-1,2613,0,0.0,16150.61,-0.98,0.0,16150.61,-0.98
1472,-1,3175,0,0.0,16166.25,-0.98,0.0,16166.25,-0.98
1473,-1,11065,0,0.0,16107.09,-0.98,0.0,16107.09,-0.98
1474,-1,1297,0,0.0,16055.58,-0.98,0.0,16055.58,-0.98
