,FVMC_Rewards1,FVMC_noSteps1,FVMC_Accuracy1,Moving_Average_Accuracy1,Moving_Average_Step1,Moving_Average_Reward1,Overall_Accuracy,Overall_Steps,MC Overall_Reward
68,1,5,1,0.362318841,400.2173913,-0.275362319,0.362318841,400.2173913,-0.275362319
69,1,7,1,0.371428571,394.6,-0.257142857,0.371428571,394.6,-0.257142857
70,-1,4,0,0.366197183,389.0985915,-0.267605634,0.366197183,389.0985915,-0.267605634
71,1,5,1,0.375,383.7638889,-0.25,0.375,383.7638889,-0.25
72,1,5,1,0.383561644,378.5753425,-0.232876712,0.383561644,378.5753425,-0.232876712
73,1,5,1,0.391891892,373.527027,-0.216216216,0.391891892,373.527027,-0.216216216
74,1,7,1,0.4,368.64,-0.2,0.4,368.64,-0.2
75,1,21,1,0.407894737,364.0657895,-0.184210526,0.407894737,364.0657895,-0.184210526
76,1,6,1,0.415584416,359.4155844,-0.168831169,0.415584416,359.4155844,-0.168831169
77,1,5,1,0.423076923,354.8717949,-0.153846154,0.423076923,354.8717949,-0.153846154
78,1,5,1,0.430379747,350.443038,-0.139240506,0.430379747,350.443038,-0.139240506
79,1,5,1,0.4375,346.125,-0.125,0.4375,346.125,-0.125
80,1,5,1,0.444444444,341.9135802,-0.111111111,0.444444444,341.9135802,-0.111111111
81,1,7,1,0.451219512,337.8292683,-0.097560976,0.451219512,337.8292683,-0.097560976
82,1,5,1,0.457831325,333.8192771,-0.084337349,0.457831325,333.8192771,-0.084337349
83,1,5,1,0.464285714,329.9047619,-0.071428571,0.464285714,329.9047619,-0.071428571
84,1,5,1,0.470588235,326.0823529,-0.058823529,0.470588235,326.0823529,-0.058823529
85,-1,8,0,0.465116279,322.3837209,-0.069767442,0.465116279,322.3837209,-0.069767442
86,1,5,1,0.471264368,318.7356322,-0.057471264,0.471264368,318.7356322,-0.057471264
87,-1,3,0,0.465909091,315.1477273,-0.068181818,0.465909091,315.1477273,-0.068181818
88,1,5,1,0.471910112,311.6629213,-0.056179775,0.471910112,311.6629213,-0.056179775
89,1,5,1,0.477777778,308.2555556,-0.044444444,0.477777778,308.2555556,-0.044444444
90,1,5,1,0.483516484,304.9230769,-0.032967033,0.483516484,304.9230769,-0.032967033
91,1,7,1,0.489130435,301.6847826,-0.02173913,0.489130435,301.6847826,-0.02173913
92,-1,1,0,0.483870968,298.4516129,-0.032258065,0.483870968,298.4516129,-0.032258065
93,1,7,1,0.489361702,295.3510638,-0.021276596,0.489361702,295.3510638,-0.021276596
94,1,5,1,0.494736842,292.2947368,-0.010526316,0.494736842,292.2947368,-0.010526316
95,1,5,1,0.5,289.3020833,0,0.5,289.3020833,0
96,1,5,1,0.505154639,286.371134,0.010309278,0.505154639,286.371134,0.010309278
97,-1,5,0,0.5,283.5,0,0.5,283.5,0
98,1,5,1,0.505050505,280.6868687,0.01010101,0.505050505,280.6868687,0.01010101
99,1,7,1,0.51,277.95,0.02,0.51,277.95,0.02
100,1,7,1,0.52,277.98,0.04,0.52,277.98,0.04
101,1,5,1,0.53,277.91,0.06,0.53,277.91,0.06
102,1,7,1,0.54,277.9,0.08,0.54,277.9,0.08
103,1,5,1,0.55,273.46,0.1,0.55,273.46,0.1
104,1,5,1,0.56,268.1,0.12,0.56,268.1,0.12
105,1,6,1,0.57,267.58,0.14,0.57,267.58,0.14
106,1,5,1,0.58,265.44,0.16,0.58,265.44,0.16
107,1,5,1,0.59,245,0.18,0.59,245,0.18
108,1,5,1,0.6,243.43,0.2,0.6,243.43,0.2
109,1,5,1,0.61,239.31,0.22,0.61,239.31,0.22
110,1,5,1,0.62,235.96,0.24,0.62,235.96,0.24
111,1,5,1,0.63,228.45,0.26,0.63,228.45,0.26
112,1,5,1,0.64,223.09,0.28,0.64,223.09,0.28
113,1,5,1,0.65,193.39,0.3,0.65,193.39,0.3
114,1,5,1,0.66,188.91,0.32,0.66,188.91,0.32
115,1,5,1,0.67,185.23,0.34,0.67,185.23,0.34
116,1,6,1,0.68,182.39,0.36,0.68,182.39,0.36
117,1,5,1,0.69,170.62,0.38,0.69,170.62,0.38
118,1,5,1,0.7,166.24,0.4,0.7,166.24,0.4
119,1,13,1,0.71,160.45,0.42,0.71,160.45,0.42
120,-1,3,0,0.71,146.48,0.42,0.71,146.48,0.42
121,1,5,1,0.72,143.83,0.44,0.72,143.83,0.44
122,1,5,1,0.73,140.77,0.46,0.73,140.77,0.46
123,1,6,1,0.74,125.7,0.48,0.74,125.7,0.48
124,1,7,1,0.75,118.67,0.5,0.75,118.67,0.5
125,1,7,1,0.75,118.06,0.5,0.75,118.06,0.5
126,1,5,1,0.76,114.45,0.52,0.76,114.45,0.52
127,1,5,1,0.77,95.35,0.54,0.77,95.35,0.54
128,1,5,1,0.78,92.01,0.56,0.78,92.01,0.56
129,1,6,1,0.79,82.47,0.58,0.79,82.47,0.58
130,1,7,1,0.8,78.62,0.6,0.8,78.62,0.6
131,-1,3,0,0.8,68.49,0.6,0.8,68.49,0.6
132,1,6,1,0.81,57.28,0.62,0.81,57.28,0.62
133,1,5,1,0.82,52.67,0.64,0.82,52.67,0.64
134,1,7,1,0.83,52.24,0.66,0.83,52.24,0.66
135,-1,2,0,0.83,40.8,0.66,0.83,40.8,0.66
136,1,5,1,0.84,32.17,0.68,0.84,32.17,0.68
137,1,5,1,0.85,21.35,0.7,0.85,21.35,0.7
138,1,7,1,0.86,19.34,0.72,0.86,19.34,0.72
139,1,5,1,0.87,18.96,0.74,0.87,18.96,0.74
140,1,5,1,0.87,13.71,0.74,0.87,13.71,0.74
141,1,7,1,0.88,11.23,0.76,0.88,11.23,0.76
142,-1,3,0,0.88,10.41,0.76,0.88,10.41,0.76
143,1,5,1,0.88,8.31,0.76,0.88,8.31,0.76
144,1,5,1,0.88,7.2,0.76,0.88,7.2,0.76
145,1,5,1,0.88,6.57,0.76,0.88,6.57,0.76
146,1,5,1,0.88,5.68,0.76,0.88,5.68,0.76
147,1,7,1,0.88,5.48,0.76,0.88,5.48,0.76
148,1,5,1,0.88,5.48,0.76,0.88,5.48,0.76
149,-1,3,0,0.87,5.44,0.74,0.87,5.44,0.74
150,1,5,1,0.87,5.44,0.74,0.87,5.44,0.74
151,1,5,1,0.88,5.48,0.76,0.88,5.48,0.76
152,1,5,1,0.88,5.48,0.76,0.88,5.48,0.76
153,1,5,1,0.88,5.48,0.76,0.88,5.48,0.76
154,1,5,1,0.88,5.48,0.76,0.88,5.48,0.76
155,-1,3,0,0.87,5.46,0.74,0.87,5.46,0.74
156,1,6,1,0.87,5.47,0.74,0.87,5.47,0.74
157,1,5,1,0.87,5.45,0.74,0.87,5.45,0.74
158,1,5,1,0.87,5.45,0.74,0.87,5.45,0.74
159,-1,3,0,0.86,5.39,0.72,0.86,5.39,0.72
160,1,5,1,0.86,5.37,0.72,0.86,5.37,0.72
161,1,5,1,0.87,5.4,0.74,0.87,5.4,0.74
162,1,5,1,0.87,5.4,0.74,0.87,5.4,0.74
163,1,7,1,0.87,5.42,0.74,0.87,5.42,0.74
164,1,5,1,0.88,5.46,0.76,0.88,5.46,0.76
165,1,5,1,0.88,5.46,0.76,0.88,5.46,0.76
166,-1,2,0,0.87,5.41,0.74,0.87,5.41,0.74
167,1,5,1,0.87,5.41,0.74,0.87,5.41,0.74
168,1,6,1,0.87,5.42,0.74,0.87,5.42,0.74
169,1,7,1,0.87,5.42,0.74,0.87,5.42,0.74
170,1,7,1,0.88,5.45,0.76,0.88,5.45,0.76
